cae:akandasamutTita,32:akandasamutTita:n:
cae:akAraRamAraka,58:akAraRamAraka:n:
cae:akiMcitkurvARa,66:akiMcitkurvARa:n:
cae:akukampin,1373:anukampin:t:
cae:akzaBa,130:akzaBa:n:  MW has akzaBA only
cae:akziSiromuKa,151:akziSiromuKa:n:
cae:agnijihU,211:agnijihva:t:
cae:agniSuSUzA,233:agniSuSrUzA:t:
cae:aNkayazwi,292:aNkayazwi:n:
cae:acirapraBAs,363:acirapraBAs:n: variant of acirapraBA
cae:ajastra,400:{ajastra}1{a3jastra}:{ajasra}1{a3jasra}:t:
cae:ajahakzaRA,401:ajahakzaRA:n: ? = ajahallakzaRA cf. PW.  Also, stated to be opposite of jahallakzaRA
cae:atiklAmita,501:atiklAmita:n:
cae:atidakziRatA,518:atidakziRatA:n:
cae:atinirviRa,540:atinirviRRa:t: = cf (PD). MW has nirviRRa
cae:atimaDuram,575:atimaDuram:n:
cae:atilajjanIya,597:atilajjanIya:n:
cae:atiSORqIratA,628:atiSORqIratA:n:
cae:atItaSOSava,655:atItaSOSava:n:
cae:adakziRatA,722:adakziRatA:n:
cae:adattadAyin,726:adattadAyin:n:
cae:adyadiva,800:adyadiva:n:
cae:adyA,798:adyA:n: variant of adya
cae:aDarmizwa,848:aDarmizWa:p: cf mw, pw, etc. cae has DarmizWa
cae:aDikaraRaBoja,867:aDikaraRaBoja:n:
cae:aDimanDana,897:aDimanTana:t:
cae:aDyaDona,953:aDyaDIna:t:
cae:aDvaraSI,984:aDvaraSrI:t:
cae:anaGaprasavA,997:anaGaprasavA:n: Not in dictionary. steganography?
cae:anantapApa,1036:anantapApa:n:
cae:anavagfhIta,1134:anavagfhIta:n:
cae:anavalokita,1150:anavalokita:n:
cae:anAkarRika,1186:{anAkarRika}1{anAkarRi°ka}:{anAkarRitaka}1{anAkarRita°ka}:t:  variant of anAkarRita. cf pd
cae:anAramma,1243:anAramBa:t:
cae:animizanta,1296:animizanta:n:
cae:aniryAtayant,1318:aniryAtayant:n:
cae:anirvAhanaSIla,1322:anirvAhanaSIla:n:
cae:anilAnala,1331:anilAnala:n:
cae:anudGAyya,1436:anudGAyya:n: ?
cae:antaray,1627:antaray:n: = mw antaraya (Denominative verb)
cae:antarIkzasTa,1644:antarIkzasTa:n: = pd antarikzasTa
cae:antarjalanivAsin,1649:antarjalanivAsin:n:
cae:antardIpa,1653:antardIpa:n: related to sAntardIpa
cae:andolAy,1709:andolAy:n:
cae:anDatAmistra,1715:anDatAmisra:t:
cae:anvAyanta,1809:anvAyanta:n:
cae:apaYcIBUta,1851:apaYcIBUta:n:
cae:apapAtrika,1887:apapAtrika:n:
cae:aparANmUKa,1913:aparANmuKa:t:
cae:apariSAnta,1948:apariSrAnta:t:
cae:aparIkzya,1956:aparIkzya:n:
cae:apahvava,2012:apahnava:t:
cae:apANganetrA,2018:apANganetrA:n:
cae:apASaya,2039:apASraya:t:
cae:apuzma,2065:apuzpa:t:
cae:apetASa,2082:apetASa:n:  not in scan. see extra.txt
cae:apratigfhRant,2116:apratigfhRant:n:
cae:apratimapraBAva,2130:apratimapraBAva:n:
cae:apriyaMvAdin,2180:apriyaMvAdin:n:
cae:aBaRitvA,2240:aBaRitvA:n:
cae:aBayapradAyin,2247:aBayapradAyin:n:
cae:aBiDAnakoMSa,2294:aBiDAnakoMSa:p: aBiDAnakoSa  cf. PW
cae:aBiviSuta,2370:aBiviSruta:t:
cae:aBiSuta,2387:aBiSruta:t:
cae:aBisaMhatya,2398:aBisaMhatya:n: gerund.  Many gerunds unique to cae
cae:aBojayant,2441:aBojayant:n:
cae:aByastaguRa,2469:aByastaguRa:n:
cae:aByucCita,2483:{aByucCita}1{aByu3cCita}:{aByucCrita}1{aByu3cCrita}:t:
cae:aBrAvakAMSika,2507:aBrAvakASika:p: the anusvAra may be print smudge. cf MW, PW
